RESOURCE TYPE,RESOURCE NAME,SOURCE,IDENTIFIER,NEW/REUSE,ADDITIONAL INFORMATION
Protocol,Perfusion and fixation of brain tissue for fresh frozen sections,protocols.io,https://www.protocols.io/view/perfusion-and-fixation-of-brain-tissue-for-fresh-f-bp2l6xpr1lqe/v1,new,Protocol URL listed in DANDI metadata.
Protocol,Ex vivo imaging of genetically encoded sensors,protocols.io,https://www.protocols.io/view/ex-vivo-imaging-of-genetically-encoded-sensors-wit-n92ldry68g5b/v1,new,Protocol URL listed in DANDI metadata.
Protocol,Preparation of ex vivo brain slices for physiology,protocols.io,https://www.protocols.io/view/preparation-of-ex-vivo-brain-slices-for-physiology-dm6gp328jvzp/v2,new,Protocol URL listed in DANDI metadata.
Protocol,Ex vivo mouse brain patch clamp recordings combined with optogenetic stimulation,protocols.io,https://www.protocols.io/view/ex-vivo-mouse-brain-patch-clamp-recordings-combine-rm7vzx1w2gx1/v2,new,Protocol URL listed in DANDI metadata.
Protocol,v2 RNAscope,protocols.io,https://www.protocols.io/view/v2-rnascope-14egn3odml5d/v1,new,Protocol URL listed in DANDI metadata.
Virus strain,AAV-CAG-FLPX-rc [ChrimsonR-tdTomato],Addgene,Cat#130909-AAV8; https://www.addgene.org/130909/#130909-AAV8,reuse,RRID not provided in source list; verify Addgene RRID before submission.
Virus strain,pAAV-Ef1a-fDIO mCherry,Addgene,Cat#14471-AAV9; https://www.addgene.org/114471/#114471-AAV9,reuse,Source spreadsheet lists catalogue number as 14471-AAV9; verify whether this should be 114471-AAV9 before submission. RRID not provided in source list.
Virus strain,AAV-EF1a-FLEX-Chronos-GFP,UNC Vector Core / Dr. Ed Boyden vector,AAV9- Vectors - Dr. Ed Boyden; https://www.med.unc.edu/genetherapy/vectorcore/in-stock-aav-vectors/boyden/,reuse,RRID not provided in source list; verify catalog and RRID before submission.
Virus strain,pAAV-Syn-FLEX-rc [Chronos-tdTomato],Addgene / Virovek,Plasmid #84481; https://www.addgene.org/84481/,reuse,AAV9 packaging by Virovek; RRID not provided in source list.
Virus strain,AAV9-hSyn-GRAB_ACh3.0,Addgene,Cat#121922-AAV9; https://www.addgene.org/121922/,reuse,RRID not provided in source list; verify Addgene RRID before submission.
Virus strain,AAV9-Syn-FRed-U6gRsGABAd,Virovek,No catalog identifier provided,reuse,Packaging by Virovek; RRID not provided in source list. Add vector sequence/catalog if RRID does not exist.
Virus strain,AAV9-syn-saCas-mWPRE-hGHPolyA,Virovek,No catalog identifier provided,reuse,Packaging by Virovek; RRID not provided in source list. Add vector sequence/catalog if RRID does not exist.
Experimental model: Organism/strain,"ChAT-Cre, ChAT-IRES-Cre (B6;129S6-Chattm2(cre)Lowl/J)",Jackson Laboratory,RRID:IMSR_JAX:006410,reuse,C57BL/6J background; JAX strain 006410; imported 26/11/2012.
Experimental model: Organism/strain,D1BAC-tdTomato (FVB.Cg-Tg(Drd1-tdTomato)5Calak),"MMRRC / Nicole Calakos, Duke",RRID:MMRRC_030512-UNC,reuse,C57BL/6J background; imported 28/1/2009.
Experimental model: Organism/strain,D2BAC-EGFP (FVB/N Swiss Webster) (Tg(Drd2-EGFP)S118Gsat),MMRRC / GENSAT,RRID:MMRRC_000230-UNC,reuse,C57BL/6J background; imported 6/1/2004.
Experimental model: Organism/strain,NPY-Cre (B6.Cg-Npy tm1(cre)Zman/J) Strain 027851,Jackson Laboratory,RRID:IMSR_JAX:027851,reuse,C57BL/6J background; imported 2/21/22.
Experimental model: Organism/strain,Ndufs2tm1.1Job Tg(CAG-cre/Esr1*)5Amc/J,Jackson Laboratory,RRID:IMSR_JAX:038571,reuse,"Mixed background: C57BL/6J, C57BL/6N, CBA/J, SWR, 129X1/SvJ, 129S1/Sv, and SJL."
Experimental model: Organism/strain,Ndnf-IRES-FlpO (B6(Cg)-Ndnftm1.1(flpo)Ispgl/J),Jackson Laboratory,RRID:IMSR_JAX:034876,reuse,C57BL/6J background.
Experimental model: Organism/strain,DAT-IRES-cre (B6.SJL-Slc6a3tm1.1(cre)Bkmn/J),Jackson Laboratory,RRID:IMSR_JAX:006660,reuse,C57BL/6J background.
Experimental model: Organism/strain,ChAT Flpo,William T. Dauer / Jay Li,RRID not provided,reuse,Shared mouse line from William T. Dauer (UT Southwestern) and Jay Li (University of Michigan); source spreadsheet does not provide RRID.
