RESOURCE TYPE,RESOURCE NAME,SOURCE,IDENTIFIER,NEW/REUSE,ADDITIONAL INFORMATION
Protocol,Ex vivo mouse brain patch clamp recordings combined with optogenetic stimulation,protocols.io,https://dx.doi.org/10.17504/protocols.io.rm7vzx1w2gx1/v2,reuse,Protocol URL listed in DANDI metadata.
Protocol,Mouse stereotaxic surgeries for intracranial viral injection V.1,protocols.io,https://dx.doi.org/10.17504/protocols.io.81wgby191vpk/v1,reuse,Protocol URL listed in DANDI metadata.
Protocol,Perfusion and fixation of brain tissue for fresh frozen sections,protocols.io,https://dx.doi.org/10.17504/protocols.io.bp2l6xpr1lqe/v1,reuse,Protocol URL listed in DANDI metadata.
Protocol,Preparation of ex vivo brain slices for physiology,protocols.io,https://dx.doi.org/10.17504/protocols.io.dm6gp328jvzp/v2,reuse,Protocol URL listed in DANDI metadata.
Protocol,Unilateral 6-hydroxydopamine lesion mouse model,protocols.io,https://dx.doi.org/10.17504/protocols.io.kqdg3q5w1v25/v1,reuse,Protocol URL listed in DANDI metadata.
Protocol,v2 RNAscope,protocols.io,https://dx.doi.org/10.17504/protocols.io.14egn3odml5d/v1,reuse,Protocol URL listed in DANDI metadata.
Virus strain,AAV-CAG-FLPX-rc [ChrimsonR-tdTomato],Addgene,Cat#130909-AAV8; RRID:Addgene_130909; https://www.addgene.org/130909/#130909-AAV8,reuse,Addgene viral prep #130909-AAV8; Flp-dependent ChrimsonR-tdTomato vector. Figures: Fig. 3g-l NGFI/NDNF optogenetic activation; Fig. 8 ChAT-Flp/MCI-Park optogenetic activation.
Virus strain,pAAV-EF1α-FLEX-rc[Chronos-GFP],UNC Vector Core / Dr. Ed Boyden vector,Addgene plasmid #62725; RRID:Addgene_62725; https://www.addgene.org/62725/,reuse,RRID added for matching Boyden pAAV-EF1a-FLEX-rc[Chronos-GFP] construct. Figures: Fig. 1 and Fig. 2 ChI optogenetic activation; Fig. 10 NPY-Cre interneuron optogenetic activation; Fig. 11c ChAT-Cre optogenetic activation. Confirm whether this vector was also used for Fig. 9 6-OHDA ChI optogenetic activation.
Virus strain,AAV-PHP.eB-AiE0452h-minBG-SYFP2-WPRE3-BGHpA,Addgene / Allen Institute for Brain Science & Jonathan Ting,Cat#191707-PHPeB; RRID:Addgene_191707; https://www.addgene.org/191707/,reuse,iSPN enhancer-driven SYFP2 reporter; methods cite Addgene #191707. Figures: Fig 3g-l; iSPN enhancer reporter used to identify iSPNs.
Virus strain,AAV9-syn-saCas-mWPRE-hGHPolyA / pFB-Syn-SaCas9s-mWPRE-hGHpA,Virovek / Addgene,Addgene plasmid #245385; RRID:Addgene_245385; https://www.addgene.org/245385/,reuse,Custom/Virovek-packaged SaCas9 AAV; methods give titer 2E+13 vg/mL. Addgene RRID identifies the source plasmid pFB-Syn-SaCas9s-mWPRE-hGHpA. Packaged AAV prep RRID not available unless registered separately. Figures: Fig 3a-f; SaCas9 virus paired with AAV9-Syn-FRed-U6gRsGABAd
Virus strain,AAV9-hSyn-GRAB_ACh3.0 / pAAV-hSyn-GRAB_ACh3.0,Addgene,Cat#121922-AAV9; RRID:Addgene_121922; https://www.addgene.org/121922/,reuse,Addgene viral prep #121922-AAV9; acetylcholine sensor GRABACh3.0. Figures: Fig. 7 two-photon GRAB_ACh3.0 ACh release imaging in prodromal MCI-Park mice and controls.
Virus strain,AAV9-Syn-FLEX-Chronos-GFP / pAAV-Syn-FLEX-rc[Chronos-GFP],UNC Vector Core / Addgene,Addgene plasmid #62722; RRID:Addgene_62722; https://www.addgene.org/62722/,reuse,AAV9 Chronos-GFP viral vector originally obtained from UNC Vector Core; source plasmid pAAV-Syn-FLEX-rc[Chronos-GFP] obtained from Addgene. Addgene RRID identifies the source plasmid. Packaged AAV prep RRID not available. Figures: Fig 3a-f; Virovek/UNC Chronos-GFP used with GABAAR delta CRISPR knockdown in ChAT-Cre x A2a-eGFP mice
Virus strain,AAV9-Syn-FRed-U6gRsGABAd,Virovek,RRID not provided; catalog identifier not provided,reuse,"Custom/Virovek-packaged guide RNA AAV; packaged by Virovek. Add vector sequence, catalog/order number, or donor/source details when available. Figures: Fig. 3a-f guide RNA virus for GABAAR delta knockdown"
Virus strain,pAAV-Ef1a-fDIO mCherry,Addgene,Cat#114471-AAV9; RRID:Addgene_114471; https://www.addgene.org/114471/#114471-AAV9,reuse,Addgene viral prep #114471-AAV9. Figures: Fig. 11c NDNF/NGFI visual identification with Flp-dependent mCherry expression.
Virus strain,pAAV-Syn-FLEX-rc [Chronos-tdTomato],Addgene / Virovek,Plasmid #84481; RRID:Addgene_84481; https://www.addgene.org/84481/,reuse,Addgene plasmid #84481; AAV9 packaging by Virovek. Figures: exact figure assignment not explicit in provided methods; keep as listed in provided virus list pending lab confirmation.
Experimental model: Organism/strain,A2a-Cre / Adora2a-T2A-Cre (C57BL/6-Adora2aem1(cre)Rcos/J),Jackson Laboratory,RRID:IMSR_JAX:040186,reuse,Used in Ndnf-Flp x A2a-Cre experiments for NGFI optogenetic activation and iSPN recordings. Figures: Fig. 3g-l.
Experimental model: Organism/strain,Adora2-eGFP / A2a-eGFP (STOCK Tg(Adora2a-EGFP)EP141Gsat/Mmucd),MMRRC / GENSAT,RRID:MMRRC_010541-UCD,reuse,Used in ChAT-Cre x Adora2-eGFP CRISPR experiments; methods state line was backcrossed to C57BL/6J in the Surmeier laboratory. Figures: Fig. 3a-f GABAAR delta-subunit CRISPR knockdown experiments in ChAT-Cre x Adora2-eGFP mice.
Experimental model: Organism/strain,"ChAT-ChR2-eYFP / B6.Cg-Tg(Chat-COP4*H134R/EYFP,Slc18a3)6Gfng/J",Jackson Laboratory,RRID:IMSR_JAX:014546,reuse,Mouse line used for independent Supplementary Fig. S5 experiments with optogenetic activation of cholinergic interneurons.Figures: Supplementary Fig. S5 independent ChAT-ChR2-eYFP optogenetic activation experiments.
Experimental model: Organism/strain,ChAT Flpo,William T. Dauer / Jay Li,RRID not provided,reuse,Shared mouse line from William T. Dauer (UT Southwestern) and Jay Li (University of Michigan); RRID not provided. Figures: Fig. 8 ChAT-Flp/MCI-Park ChI optogenetic activation experiments.
Experimental model: Organism/strain,"ChAT-Cre, ChAT-IRES-Cre (B6;129S6-Chattm2(cre)Lowl/J)",Jackson Laboratory,RRID:IMSR_JAX:006410,reuse,C57BL/6J background; JAX strain 006410; imported 26/11/2012. Figures: Fig. 1 ChI optogenetic stimulation; Fig. 3 CRISPR delta-subunit knockdown; Fig. 9 6-OHDA ChI optogenetic stimulation; Fig. 11 ChAT-Cre x NDNF-Flp connectivity/RNAscope-related experiments.
Experimental model: Organism/strain,D1BAC-tdTomato (FVB.Cg-Tg(Drd1-tdTomato)5Calak),"MMRRC / Nicole Calakos, Duke",RRID:MMRRC_030512-UNC,reuse,C57BL/6J background; imported 28/1/2009. Figures: Fig. 1-2 ChI-evoked PSC recordings in dSPNs; Fig. 9 6-OHDA lesion experiments; Fig. 10 NPY-Cre experiments where dSPNs are identified.
Experimental model: Organism/strain,D2BAC-EGFP (FVB/N Swiss Webster) (Tg(Drd2-EGFP)S118Gsat),MMRRC / GENSAT,RRID:MMRRC_000230-UNC,reuse,C57BL/6J background; imported 6/1/2004. Figures: Fig. 1-2 ChI-evoked PSC recordings in iSPNs; Fig. 9 6-OHDA lesion experiments; Fig. 10 NPY-Cre experiments where iSPNs are identified.
Experimental model: Organism/strain,DAT-IRES-cre (B6.SJL-Slc6a3tm1.1(cre)Bkmn/J),Jackson Laboratory,RRID:IMSR_JAX:006660,reuse,C57BL/6J background. Figures: Fig. 7 prodromal MCI-Park ACh release imaging; Fig. 8 prodromal MCI-Park ChI coupling experiments.
Experimental model: Organism/strain,Ndnf-IRES-FlpO (B6(Cg)-Ndnftm1.1(flpo)Ispgl/J),Jackson Laboratory,RRID:IMSR_JAX:034876,reuse,C57BL/6J background. Figures: Fig. 3g-l NDNF/NGFI optogenetic activation; Fig. 11 ChAT-Cre x NDNF-Flp functional connectivity/RNAscope-related experiments.
Experimental model: Organism/strain,Ndufs2tm1.1Job Tg(CAG-cre/Esr1*)5Amc/J,Jackson Laboratory,RRID:IMSR_JAX:038571,reuse,"Mixed background: C57BL/6J, C57BL/6N, CBA/J, SWR, 129X1/SvJ, 129S1/Sv, and SJL. Figures: Fig. 7 prodromal MCI-Park ACh release imaging; Fig. 8 prodromal MCI-Park ChI coupling experiments."
Experimental model: Organism/strain,NPY-Cre (B6.Cg-Npy tm1(cre)Zman/J) Strain 027851,Jackson Laboratory,RRID:IMSR_JAX:027851,reuse,C57BL/6J background; imported 2/21/22. Figures: Fig. 10 NPY-Cre interneuron optogenetic activation and SPN recordings in 6-OHDA lesion experiments.
Antibody,Goat anti-mouse IgG (H+L) Alexa Fluor 594 secondary antibody,Thermo Fisher Scientific / Invitrogen,Cat#A-11005; RRID:AB_2534073,reuse,Secondary antibody used at 1:500 for immunofluorescence.
Antibody,Mouse monoclonal anti-tyrosine hydroxylase (TH),ImmunoStar,Cat#22941; RRID:AB_572268,reuse,"Primary antibody used at 1:1,000 for TH immunostaining."
Commercial assay or kit,RNAscope Multiplex Fluorescent Detection Kit v2,Advanced Cell Diagnostics / Bio-Techne,Cat#323110,reuse,Kit used for RNAscope in situ hybridization on fresh frozen sections.
Oligonucleotide,RNAscope Probe - Mm-Chrnb2,Advanced Cell Diagnostics / Bio-Techne,Cat#449231,reuse,Probe targeting Chrnb2 / nicotinic acetylcholine receptor beta 2 subunit.
Oligonucleotide,RNAscope Probe - Mm-NDNF-C3,Advanced Cell Diagnostics / Bio-Techne,Cat#447471-C3,reuse,Probe targeting neuron-derived neurotrophic factor (NDNF).
Oligonucleotide,RNAscope Probe - Mm-TH-C2,Advanced Cell Diagnostics / Bio-Techne,Cat#317621-C2,reuse,Probe targeting tyrosine hydroxylase (TH).
Chemicals,6-Hydroxydopamine (6-OHDA),Sigma-Aldrich / Tocris,"Sigma-Aldrich Cat#H116, 6-OHDA hydrobromide; Tocris Cat#2547, 6-OHDA hydrobromide; CAS:636-00-0; RRID not applicable/not found",reuse,Neurotoxin used for unilateral MFB lesioning; prepared at 2.5 ug/uL and injected at total dose 2.5 ug.
Chemicals,D-AP5,Hello Bio / Tocris,Hello Bio Cat#HB0225; Tocris Cat#0106; CAS:79055-68-8; RRID not applicable/not found,reuse,NMDAR antagonist used at 10 uM during electrophysiology.
Chemicals,L-Ascorbic acid,Sigma-Aldrich,Sigma-Aldrich Cat#A92902; CAS:50-81-7; RRID not applicable/not found,reuse,Used at 0.04% to prevent oxidation of 6-OHDA.
Chemicals,Biocytin,Sigma-Aldrich,Sigma-Aldrich Cat#B4261; CAS:576-19-2; RRID not applicable/not found,reuse,Included in the CsCl-based internal solution for post hoc morphological verification in Supplementary Fig. S5 experiments.
Chemicals,Bupivacaine hydrochloride injection,Eugia US,"NDC 55150-0250-50; 0.5%, 5 mg/mL; RRID not applicable/not found",reuse,Local anesthetic infiltrated at the incision site at 2 mg/kg.
Chemicals,Buprenorphine ER,Wedgewood Connect,"NDC 79926-057-17; 0.5 mg/mL; RRID not applicable/not found",reuse,Post-operative analgesic administered at 1 mg/kg. Used unless unavailable in which case meloxicam maintenance dosing was continued.
Chemicals,CGP 55845 hydrochloride,Hello Bio / Tocris,Hello Bio Cat#HB0960; Tocris Cat#1248; CAS:149184-22-5; RRID not applicable/not found,reuse,Pharmacological blocker used at 2 uM during electrophysiology.
Chemicals,CPCCOEt,Hello Bio / Tocris,Hello Bio Cat#HB0216; Tocris Cat#1028; CAS:179067-99-3; RRID not applicable/not found,reuse,Pharmacological blocker used at 50 uM during electrophysiology.
Chemicals,Gabazine / SR-95531,Tocris / Hello Bio / Sigma-Aldrich,Tocris Cat#1262; Hello Bio Cat#HB0901; Sigma-Aldrich Cat#S106; CAS:104104-50-9; RRID not applicable/not found,reuse,GABAA receptor antagonist used to isolate gabazine-sensitive postsynaptic currents in electrophysiology experiments.
Chemicals,Isoflurane,Covetrus,Covetrus SKU 029405,reuse,Anesthetic used for stereotaxic procedures.
Chemicals,Ketamine hydrochloride,Dechra,ANADA #200-073,reuse,Anesthetic used before brain slice preparation at 100 mg/kg in main experiments and 80 mg/kg in Supplementary Fig. S5 experiments.
Chemicals,Mecamylamine hydrochloride,Tocris / Hello Bio / Sigma-Aldrich,Tocris Cat#2843; Hello Bio Cat#HB0967; Sigma-Aldrich Cat#M9020; CAS:826-39-1; RRID not applicable/not found,reuse,Nicotinic acetylcholine receptor antagonist used in electrophysiology experiments.
Chemicals,Meloxicam (Meloxivet),Dechra,"NDC 17033-051-10; 5 mg/mL; RRID not applicable/not found",reuse,NSAID analgesic used for perioperative analgesia. Pre-operative loading dose 2 mg/kg s.c.; maintenance dose 1 mg/kg every 24 h for 1-2 days when buprenorphine ER was unavailable.
Chemicals,MPEP hydrochloride,Hello Bio / Tocris,Hello Bio Cat#HB0426; Tocris Cat#1212; CAS:219911-35-0; RRID not applicable/not found,reuse,Pharmacological blocker used at 1 uM during electrophysiology.
Chemicals,NBQX disodium salt,Hello Bio / Tocris / Sigma-Aldrich,Hello Bio Cat#HB0443; Tocris Cat#1044; Sigma-Aldrich Cat#N183; CAS:479347-86-9; RRID not applicable/not found,reuse,Pharmacological blocker used at 10 uM during electrophysiology.
Chemicals,NMDG / N-Methyl-D-glucamine,Sigma-Aldrich,Sigma-Aldrich Cat#M2004; CAS:6284-40-8; RRID not applicable/not found,reuse,Component of the NMDG-based cutting/recovery solution used for Supplementary Fig. S5 slice preparation.
Chemicals,OCT compound,Sigma-Aldrich,Sigma-Aldrich Cat#SHH0026; PolyFreeze Tissue Freezing Medium; RRID not applicable/not found,reuse,Embedding/freezing medium used for fresh frozen brain tissue.
Chemicals,Paraformaldehyde,Sigma-Aldrich,Sigma-Aldrich Cat#158127; CAS:30525-89-4; RRID not applicable/not found,reuse,Used as 4% paraformaldehyde in 0.1 M phosphate buffer for fixation.
Chemicals,ProLong Diamond Antifade Mountant with DAPI,Thermo Fisher Scientific / Invitrogen,Cat#P36962,reuse,Mounting medium used for RNAscope and immunofluorescence slides.
Chemicals,Xylazine,Covetrus,Covetrus SKU 080907,reuse,Anesthetic used before brain slice preparation at 7 mg/kg in main experiments and 20 mg/kg in Supplementary Fig. S5 experiments.
,,,,,
